,Address.City,0
300,Eggiwil,1
301,Egnach,1
302,Egolzwil,1
303,Eich,1
304,Eichstätt,1
305,Einsiedeln,1
306,Eison,1
307,Elm,2
308,Elsau,2
309,Elsdorf,2
310,Embrach,1
311,Emmen,4
312,Emmetten,1
313,Engelberg,3
314,Ennenda,2
315,Ennetmoos,1
316,Epagny,1
317,Epalinges,2
318,Eppingen Richen,2
319,Erlenbach,2
320,Erlinsbach AG,1
321,Erlinsbach SO,1
322,Ermatingen,1
323,Ernen,1
324,Erstfeld,4
325,Eschenbach,2
326,Escholzmatt,2
327,Estavayer,1
328,Estavayer-le-Lac,6
329,Etagnières,1
330,Etoy,4
331,Ettingen,1
332,Evolène,2
333,Eyholz,2
334,Fahrwangen,1
335,Fahrweid,2
336,Faido,1
337,Falera,2
338,Feldbrunnen,1
339,Fenil-sur-Corsier,1
340,Feuerthalen,1
341,Fiesch,1
342,Figino,1
343,Fischenthal,1
344,Flamatt,1
345,Flawil,5
346,Fleurier,3
347,Flumenthal,1
348,Flums,4
349,Flumserberg Tannenboden,1
350,Fläsch,1
351,Flüelen,2
352,Flühli,2
353,Forel (Lavaux),1
354,Founex,1
355,Frauenfeld,10
356,Frauenkappelen,2
357,Freienbach,1
358,Fribourg,11
359,Frick,4
360,Frutigen,1
361,Fuldera,1
362,Fully,2
363,Furna,1
364,Furth,20
365,Fällanden,1
366,Féchy,1
367,Fürstenau,1
368,Gais,4
369,Galgenen,1
370,Gambarogno,1
371,Gams,2
372,Gebenstorf,1
373,Genestrerio,1
374,Genolier,4
375,Gentilino,2
376,Genève,44
377,Genève 26,3
378,Gerlafingen,2
379,Geroldswil,1
380,Gersau,1
381,Gilly,1
382,Giswil,1
383,Giubiasco,9
384,Givisiez,1
385,Gland,6
386,Glarus,7
387,Glarus Süd,2
388,Glion,1
389,Glis,1
390,Glovelier,1
391,Goldach,3
392,Gommiswald,2
393,Gondo,1
394,Gonten,1
395,Gontenbad,1
396,Gordevio,1
397,Gordola,1
398,Gossau,2
399,Gossau SG,2
400,Grabs,1
401,Grancia,1
402,Grand-Lancy,1
403,Grandson,2
404,Granges,2
405,Granges-Paccot,4
406,Gravesano,2
407,Grellingen,1
408,Grenchen,2
409,Grengiols,1
410,Grimentz,1
411,Grimisuat,1
412,Grindel,1
413,Grindelwald,2
414,Gruyères,1
415,Gryon,2
416,Gränichen,3
417,Grône,1
418,Gstaad,4
419,Gsteigwiler,1
420,Guarda,1
421,Gudo,1
422,Gumefens,1
423,Gunten,1
424,Gunzwil,1
425,Gurten,3
426,Gwatt,4
427,Gwatt (Thun),7
428,Gähwil,1
429,Gümligen,1
430,Güttingen,1
431,Haag,1
432,Hagneck Hagneck,1
433,"Haifa, Matam",1
434,Halblech,1
435,Handgruobi,4
436,Harsefeld,2
437,Haute-Nendaz,1
438,Hauterive,2
439,Heiden,1
440,Heimberg,1
441,Heimberg Heimberg,2
442,Hellbühl,1
443,Henggart,1
444,Hergiswil,1
445,Hergiswil bei Willisau,1
446,Herisau,4
447,Hermetschwil-Staffeln,1
448,Herrliberg,1
449,Hessigkofen,2
450,Hindelbank,1
451,Hinwil,4
452,Hirschthal,1
453,Hitzkirch Hitzkirch,1
454,Hochdorf,3
455,Hofstetten,2
456,Hohenzell,1
457,Holderbank,1
458,Holziken,1
459,Horgen,1
460,Horn,1
461,Horw,2
462,Hunzenschwil,2
463,Hägendorf,1
464,Hérémence,2
465,Hünenberg,2
466,Ibach,1
467,Icogne,1
468,Ilanz,2
469,Illgau,1
470,Illnau-Effretikon,2
471,Ilnau,1
472,Immensee,1
473,Inden,1
474,Ingolstadt,2
475,Interlaken,11
476,Inwil,3
477,Ittigen,3
478,Jaun,1
479,Jegenstorf,1
480,Jona,1
481,Jona SG,2
482,Jork,1
483,Kaiseraugst,2
484,Kaisten,1
485,Kallnach,1
486,Kaltbrunn,1
487,Kamenz,2
488,Kandergrund,1
489,Kaufdorf,1
490,Kehrsatz,1
491,Kerns,1
492,Kerzers,2
493,Kirchberg,2
494,Kirchleerau,1
495,Kleindietwil,1
496,Kleindöttingen,1
497,Klingnau,1
498,Klosterneuburg,1
499,Klosters,3
500,Klosters-Serneus,2
501,Kloten,4
502,Kreuzlingen,6
503,Kriegstetten,2
504,Kriens,27
505,Kölliken,4
506,Köniz,1
507,Küblis,3
508,Künten,1
509,Küsnacht,3
510,Küssnacht,2
511,L'Abbaye,1
512,L'Abergement,1
513,L'Etivaz,1
514,L'Orient,1
515,La Chaux-de-Fonds,13
516,La Conversion,1
517,La Ferté-Gaucher,1
518,La Forclaz,1
519,La Heutte,1
520,La Neuveville,2
521,La Roche,3
522,La Sagne,2
523,La Sarraz,1
524,La Tour-de-Peilz,6
525,La Tour-de-Trême,1
526,La Tzoumaz,1
527,La Vernaz,1
528,Laax,2
529,Lamone,1
530,Lancy,5
531,Landquart,3
532,Langendorf,2
533,Langenthal,18
534,Lantsch/Lenz,1
535,Lauenen b. Gstaad,2
536,Laufen,3
537,Laupen,1
538,Lausanne,40
539,Lausen,2
540,Lauterbrunnen,2
541,Le Bouveret,1
542,Le Brassus,2
543,Le Chenit,2
544,Le Châble,3
545,Le Châtelard,1
546,Le Crêt-du-Locle,1
547,Le Grand-Saconnex,4
548,Le Landeron,1
549,Le Lieu,1
550,Le Lignon,4
551,Le Locle,5
552,Le Mont Pellerin,1
553,Le Mont-sur-Lausanne,5
554,Le Mouret,1
555,Le Noirmont,3
556,Le Pont,2
557,Le Prese,1
558,Le Sentier,2
559,LePrese,2
560,Lenk,5
561,Lenk im Simmental,1
562,Lens,1
563,Lenting,1
564,Lenzburg,6
565,Lenzerheide,2
566,Lenzerheide Vaz / Obervaz,1
567,Leobersdorf,2
568,Les Bioux,1
569,Les Brenets,1
570,Les Charbonnières,1
571,Les Collons,2
572,Les Diablerets,4
573,Les Geneveys-sur-Coffrane,2
574,Les Haudères,1
575,Les Ponts-de-Martel,1
576,Les Rasses,1
577,Les Verrières,1
578,Leuk-Stadt,1
579,Leukerbad,2
580,Leuzigen,1
581,Leysin,1
582,Lichtensteig,1
583,Liebefeld,2
584,Liestal,1
585,Lindau,3
586,Lindau (Kempthal),2
587,Linthal,3
588,Locarno,11
589,Lohn-Ammannsegg,1
590,Losone,3
591,Lucens,1
592,Lugaggia,1
593,Lugano,13
594,Lully,3
595,Lully FR,1
596,Lumino,1
597,Lungern,1
598,Lupfig,2
599,Lupsingen,1
600,Luterbach,2
601,Lutry,2
602,Luzern,19
603,Lyss,9
604,Lyssach,1
605,Lüterkofen,2
606,MC Nijkerk,1
607,Madiswil,1
608,Madulain,1
609,Magadino,1
610,Magliaso,1
611,Maienfeld,3
612,Malvaglia,1
613,Manno,1
614,Marchtrenk,1
615,Marin-Epagnier,2
616,Marly,7
617,Martigny,17
618,Martigny-Croix,2
619,Mase,1
620,Massagno,1
621,Massongex,1
622,Matran,1
623,Matt,1
624,Mayersdorf,1
625,Medels,4
626,Meggen,1
627,Meiringen,5
628,Meisterschwanden,2
629,Melchnau,1
630,Melide,2
631,Mellingen,1
632,Mels,6
633,Mendrisio,12
634,Menziken,1
635,Menznau,1
636,Meride,1
637,Merligen,1
638,Mesocco,1
639,Messen,1
640,Mettmenstetten,3
641,Mex,2
642,Meyrin,8
643,Mezzovico,1
644,Miglieglia,1
645,Minusio,3
646,Mitlödi,1
647,Miège,1
648,Modi'in - Israel,1
649,Mogelsberg,1
650,Molinis,1
651,Mollie-Margot,1
652,Montagnola,1
653,Montagny-près-Yverdon,1
654,Montana,1
655,Monte Carasso,2
656,Monteggio,3
657,Montfaucon,1
658,Montherod,2
659,Monthey,6
660,Montreux,5
661,Moosseedorf,3
662,Morat,1
663,Morbio Inferiore,3
664,Morges,6
665,Mosnang,2
666,Moudon,3
667,Moutier,3
668,Mumpf,2
669,Muolen,1
670,Muotathal,2
671,Muralto,2
672,Murg,1
673,Muri,2
674,Muri bei Bern,2
675,Murten,8
676,Muttenz,7
677,Muzzano,3
678,Mägenwil,1
679,Männedorf,3
680,Märstetten,1
681,Mézières,1
682,Mönchaltorf,1
683,Mörel,1
684,Mörschwil,1
685,Mühlethurnen,1
686,Mühlrüti,1
687,Müllheim,1
688,Müllheim Dorf,1
689,München,1
690,Münchenbuchsee,4
691,Münchenstein,4
692,Münchwilen,1
693,Münsingen,6
694,Münsterlingen,1
695,Nax,1
696,Nesselnbach,1
697,Nesslau,1
698,Netstal,3
699,Neuchâtel,13
700,Neuchâtel 2,1
701,Neuenhof,1
702,Neuhaus,2
703,Neuhausen am Rheinfall,5
704,Neukirch,1
705,Neunkirch,1
706,Neusiedl am See,1
707,Neyruz,1
708,Nidau,3
709,Niederbüren,1
710,Niedergösgen,1
711,Niederteufen,1
712,Niederurnen,3
713,Niederuzwil,1
714,Niederwangen,3
715,Niederweningen,1
716,Niederönz,2
717,Nods,2
718,Noiraigue,2
719,Nottwil,4
720,Novaggio,1
721,Novazzano,1
722,Noville,1
723,Nunningen,1
724,Nussbaumen,4
725,Nyon,13
726,Nänikon,1
727,ONEX,1
728,Oberdiessbach,2
729,Oberdorf,1
730,Oberegg,1
731,Oberems,1
732,Oberentfelden,5
733,Oberglatt,1
734,Oberhasli,1
735,Oberiberg,1
736,Oberkirch,5
737,Oberrohrdorf,1
738,Oberrüti,2
739,Oberuzwil,3
740,Oberweningen,1
741,Oberwil,2
742,Oberwil b. Zug,1
743,Oberägeri,3
744,Obfelden,1
745,Oensingen,10
746,Oeschgen,1
747,Oetwil am See,1
748,Oftringen,3
749,Olivone,1
750,Ollon,1
751,Olten,10
752,Opfikon,11
753,Orbe,4
754,Origlio,1
755,Orny,1
756,Oron-la-Ville,1
757,Orpund,1
758,Orsières,2
759,Ort im Innkreis,2
760,Ossingen,1
761,Ostermundigen,7
762,Otelfingen,2
763,Othmarsingen,2
764,Pambio-Noranco,3
765,Pampigny,1
766,Paradiso,1
767,Paudex,1
768,Payerne,7
769,Perly,1
770,Perly Certoux,1
771,Peseux NE,2
772,Pfaffing,1
773,Pfaffnau,1
774,Pfungen,2
775,Pfäffikon,5
776,Pfäffikon SZ,1
777,Pianezzo,1
778,Pieterlen,3
779,Plaffeien,2
780,Plan-les-Ouates,2
781,Pollegio,1
782,Pollenfeld,1
783,Ponte Cremenaga,1
784,Ponte Tresa,1
785,Pontresina,8
786,Porrentruy,3
787,Port,1
788,Poschiavo,4
789,Pragg - Jenaz,1
790,Pratteln,3
791,Pravidondaz,1
792,Premploz / Conthey,1
793,Prilly,1
794,Puidoux,4
795,Pully,4
796,Puplinge,1
797,Quinto,1
798,RN Nijkerk,2
799,Recherswil,1
800,Reconvillier,1
801,Regensdorf,1
802,Rehetobel,1
803,Reichenbach,2
804,Reichersberg,1
805,Reinach,6
806,Reitnau,1
807,Remigen,1
