,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,diff_2022,recomm_2023,diff_2023,recomm_2024,diff_2024
270,Dierikon,5.0,5.0,5.0,9.0,15.0,20.0,28.0,38.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
271,Diessenhofen,6.0,8.0,11.0,21.0,28.0,42.0,62.0,92.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0
272,Dietikon,42.0,53.0,65.0,111.0,150.0,208.0,288.0,400.0,10.0,14.0,4.0,19.0,5.0,26.0,7.0
273,Dietlikon,34.0,45.0,54.0,54.0,98.0,131.0,175.0,233.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
274,Dintikon,9.0,8.0,10.0,22.0,33.0,48.0,70.0,103.0,4.0,6.0,2.0,9.0,3.0,13.0,4.0
275,Disentis,,,,,,,,,2.0,,,,,,
276,Disentis/Mustér,0.0,2.0,5.0,7.0,13.0,inf,inf,inf,1.0,inf,inf,,,,
277,Domdidier,,,,,,,,,1.0,,,,,,
278,Donauwörth,,,,,,,,,2.0,,,,,,
279,Dornach,13.0,19.0,31.0,46.0,79.0,124.0,196.0,308.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
280,Dornstadt,,,,,,,,,1.0,,,,,,
281,Dorénaz,0.0,0.0,1.0,3.0,5.0,,,,1.0,,,,,,
282,Dottikon,6.0,9.0,13.0,20.0,39.0,63.0,101.0,162.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
283,Duggingen,2.0,2.0,7.0,10.0,15.0,28.0,52.0,96.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
284,Däniken,2.0,3.0,8.0,13.0,24.0,46.0,88.0,167.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
285,Döttingen,11.0,14.0,19.0,24.0,30.0,39.0,50.0,64.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
286,Dübendorf,51.0,81.0,113.0,170.0,283.0,435.0,670.0,1030.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
287,Düdingen,17.0,21.0,32.0,42.0,68.0,97.0,138.0,196.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
288,Dürnten,21.0,34.0,55.0,71.0,98.0,145.0,214.0,316.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
289,Ebikon,20.0,28.0,40.0,65.0,103.0,155.0,235.0,354.0,3.0,5.0,2.0,8.0,3.0,12.0,4.0
290,Ebmatingen,,,,,,,,,1.0,,,,,,
291,Ebnat-Kappel,6.0,7.0,13.0,20.0,43.0,72.0,121.0,203.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
292,Echallens,4.0,6.0,11.0,22.0,42.0,76.0,138.0,249.0,2.0,4.0,2.0,7.0,3.0,13.0,6.0
293,Echandens,3.0,3.0,4.0,12.0,27.0,51.0,97.0,184.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
294,Eclépens,2.0,2.0,3.0,8.0,9.0,14.0,22.0,35.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
295,Ecublens,,,,,,,,,3.0,,,,,,
296,Ecuvillens,,,,,,,,,2.0,,,,,,
297,Egerkingen,4.0,4.0,7.0,11.0,27.0,46.0,77.0,131.0,2.0,3.0,1.0,5.0,2.0,9.0,4.0
298,Eggiwil,0.0,0.0,0.0,1.0,2.0,,,,1.0,,,,,,
299,Egnach,7.0,8.0,14.0,23.0,44.0,71.0,114.0,184.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
300,Egolzwil,5.0,6.0,8.0,12.0,18.0,25.0,34.0,48.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
301,Eich,7.0,10.0,16.0,23.0,35.0,52.0,78.0,117.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0
302,Eichstätt,,,,,,,,,1.0,,,,,,
303,Einsiedeln,37.0,50.0,67.0,100.0,138.0,192.0,267.0,371.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
304,Eison,,,,,,,,,1.0,,,,,,
305,Elm,,,,,,,,,2.0,,,,,,
306,Elsau,8.0,9.0,16.0,16.0,27.0,38.0,53.0,74.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
307,Elsdorf,,,,,,,,,2.0,,,,,,
308,Embrach,20.0,26.0,39.0,54.0,89.0,130.0,189.0,276.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
309,Emmen,29.0,37.0,57.0,71.0,134.0,199.0,296.0,441.0,4.0,6.0,2.0,9.0,3.0,13.0,4.0
310,Emmetten,3.0,3.0,4.0,10.0,11.0,16.0,24.0,36.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0
311,Engelberg,8.0,13.0,13.0,16.0,26.0,36.0,49.0,67.0,3.0,4.0,1.0,5.0,1.0,7.0,2.0
312,Ennenda,,,,,,,,,2.0,,,,,,
313,Ennetmoos,7.0,8.0,12.0,15.0,16.0,20.0,25.0,30.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
314,Epagny,,,,,,,,,1.0,,,,,,
315,Epalinges,16.0,23.0,27.0,55.0,100.0,162.0,261.0,423.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
316,Eppingen Richen,,,,,,,,,2.0,,,,,,
317,Erlenbach,,,,,,,,,2.0,,,,,,
318,Erlinsbach AG,,,,,,,,,1.0,,,,,,
319,Erlinsbach SO,,,,,,,,,1.0,,,,,,
320,Ermatingen,10.0,13.0,25.0,38.0,70.0,115.0,190.0,312.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
321,Ernen,2.0,2.0,4.0,5.0,6.0,8.0,11.0,15.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
322,Erstfeld,6.0,6.0,8.0,8.0,14.0,18.0,23.0,29.0,4.0,5.0,1.0,6.0,1.0,8.0,2.0
323,Eschenbach,,,,,,,,,2.0,,,,,,
324,Escholzmatt,,,,,,,,,2.0,,,,,,
325,Estavayer,,,,,,,,,1.0,,,,,,
326,Estavayer-le-Lac,,,,,,,,,6.0,,,,,,
327,Etagnières,2.0,3.0,5.0,9.0,15.0,25.0,41.0,68.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
328,Etoy,3.0,7.0,12.0,22.0,38.0,72.0,137.0,261.0,4.0,8.0,4.0,15.0,7.0,29.0,14.0
329,Ettingen,7.0,8.0,13.0,17.0,29.0,42.0,61.0,88.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
330,Evolène,5.0,6.0,11.0,12.0,17.0,24.0,33.0,45.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0
331,Eyholz,,,,,,,,,2.0,,,,,,
332,Fahrwangen,2.0,6.0,9.0,17.0,21.0,40.0,76.0,145.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
333,Fahrweid,,,,,,,,,2.0,,,,,,
334,Faido,1.0,1.0,1.0,11.0,20.0,74.0,274.0,1017.0,1.0,4.0,3.0,15.0,11.0,56.0,41.0
335,Falera,1.0,0.0,2.0,3.0,4.0,inf,inf,inf,2.0,inf,inf,,,,
336,Feldbrunnen,,,,,,,,,1.0,,,,,,
337,Fenil-sur-Corsier,,,,,,,,,1.0,,,,,,
338,Feuerthalen,10.0,15.0,16.0,22.0,32.0,43.0,58.0,79.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
339,Fiesch,6.0,6.0,7.0,8.0,11.0,13.0,15.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
340,Figino,,,,,,,,,1.0,,,,,,
341,Fischenthal,2.0,4.0,7.0,14.0,20.0,36.0,64.0,116.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
342,Flamatt,,,,,,,,,1.0,,,,,,
343,Flawil,17.0,20.0,30.0,37.0,64.0,90.0,127.0,179.0,5.0,7.0,2.0,10.0,3.0,14.0,4.0
344,Fleurier,,,,,,,,,3.0,,,,,,
345,Flumenthal,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
346,Flums,6.0,8.0,11.0,19.0,29.0,43.0,64.0,96.0,4.0,6.0,2.0,9.0,3.0,14.0,5.0
347,Flumserberg Tannenboden,,,,,,,,,1.0,,,,,,
348,Fläsch,5.0,7.0,10.0,12.0,15.0,20.0,26.0,34.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
349,Flüelen,1.0,2.0,4.0,8.0,13.0,25.0,47.0,90.0,2.0,4.0,2.0,8.0,4.0,15.0,7.0
350,Flühli,1.0,1.0,1.0,5.0,7.0,15.0,31.0,65.0,2.0,4.0,2.0,8.0,4.0,17.0,9.0
351,Forel (Lavaux),1.0,1.0,6.0,12.0,23.0,63.0,171.0,468.0,1.0,3.0,2.0,8.0,5.0,22.0,14.0
352,Founex,8.0,14.0,30.0,40.0,61.0,103.0,174.0,293.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
353,Frauenfeld,57.0,70.0,116.0,172.0,267.0,395.0,585.0,866.0,10.0,15.0,5.0,22.0,7.0,33.0,11.0
354,Frauenkappelen,0.0,0.0,3.0,6.0,13.0,,,,2.0,,,,,,
355,Freienbach,71.0,99.0,144.0,228.0,301.0,433.0,623.0,895.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
356,Fribourg,26.0,35.0,57.0,88.0,135.0,204.0,309.0,468.0,11.0,17.0,6.0,26.0,9.0,39.0,13.0
357,Frick,12.0,11.0,15.0,27.0,56.0,86.0,133.0,204.0,4.0,6.0,2.0,9.0,3.0,14.0,5.0
358,Frutigen,14.0,17.0,28.0,38.0,55.0,78.0,110.0,156.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
359,Fuldera,,,,,,,,,1.0,,,,,,
360,Fully,6.0,8.0,15.0,21.0,59.0,109.0,203.0,376.0,2.0,4.0,2.0,7.0,3.0,13.0,6.0
361,Furna,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,
362,Furth,,,,,,,,,20.0,,,,,,
363,Fällanden,22.0,28.0,34.0,64.0,100.0,148.0,220.0,326.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
364,Féchy,1.0,1.0,1.0,4.0,13.0,30.0,70.0,161.0,1.0,2.0,1.0,5.0,3.0,12.0,7.0
365,Fürstenau,0.0,1.0,2.0,2.0,3.0,inf,inf,inf,1.0,inf,inf,,,,
366,Gais,5.0,5.0,13.0,17.0,24.0,38.0,60.0,95.0,4.0,6.0,2.0,9.0,3.0,14.0,5.0
367,Galgenen,5.0,5.0,14.0,25.0,38.0,68.0,120.0,213.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
368,Gambarogno,12.0,14.0,21.0,33.0,53.0,77.0,113.0,165.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
369,Gams,8.0,14.0,20.0,26.0,41.0,62.0,94.0,142.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
370,Gebenstorf,9.0,10.0,17.0,29.0,45.0,68.0,104.0,157.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
371,Genestrerio,,,,,,,,,1.0,,,,,,
372,Genolier,5.0,6.0,13.0,26.0,37.0,63.0,107.0,181.0,4.0,7.0,3.0,12.0,5.0,20.0,8.0
373,Gentilino,,,,,,,,,2.0,,,,,,
374,Genève,175.0,223.0,317.0,481.0,713.0,1015.0,1446.0,2058.0,44.0,63.0,19.0,90.0,27.0,128.0,38.0
375,Genève 26,,,,,,,,,3.0,,,,,,
376,Gerlafingen,6.0,10.0,15.0,16.0,32.0,50.0,78.0,121.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
377,Geroldswil,12.0,16.0,28.0,36.0,53.0,77.0,113.0,165.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
378,Gersau,1.0,3.0,5.0,12.0,21.0,46.0,102.0,225.0,1.0,2.0,1.0,4.0,2.0,9.0,5.0
379,Gilly,2.0,2.0,4.0,11.0,17.0,31.0,57.0,103.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
380,Giswil,2.0,4.0,9.0,14.0,22.0,41.0,75.0,138.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
381,Giubiasco,,,,,,,,,9.0,,,,,,
382,Givisiez,7.0,5.0,6.0,13.0,23.0,34.0,49.0,72.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
383,Gland,17.0,21.0,36.0,82.0,112.0,185.0,304.0,502.0,6.0,10.0,4.0,16.0,6.0,26.0,10.0
384,Glarus,16.0,23.0,29.0,46.0,76.0,113.0,167.0,248.0,7.0,10.0,3.0,15.0,5.0,22.0,7.0
385,Glarus Süd,16.0,19.0,28.0,39.0,75.0,112.0,167.0,250.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
386,Glion,,,,,,,,,1.0,,,,,,
387,Glis,,,,,,,,,1.0,,,,,,
388,Glovelier,,,,,,,,,1.0,,,,,,
389,Goldach,17.0,19.0,25.0,43.0,66.0,94.0,133.0,190.0,3.0,4.0,1.0,6.0,2.0,9.0,3.0
390,Gommiswald,11.0,12.0,17.0,34.0,59.0,92.0,144.0,224.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
391,Gondo,,,,,,,,,1.0,,,,,,
392,Gonten,1.0,2.0,3.0,6.0,11.0,20.0,37.0,68.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
393,Gontenbad,,,,,,,,,1.0,,,,,,
394,Gordevio,,,,,,,,,1.0,,,,,,
395,Gordola,4.0,5.0,11.0,19.0,49.0,95.0,184.0,357.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
396,Gossau,,,,,,,,,2.0,,,,,,
397,Gossau SG,,,,,,,,,2.0,,,,,,
398,Grabs,11.0,18.0,26.0,42.0,54.0,81.0,121.0,181.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0
399,Grancia,2.0,3.0,4.0,1.0,3.0,5.0,7.0,11.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
400,Grand-Lancy,,,,,,,,,1.0,,,,,,
401,Grandson,4.0,6.0,10.0,21.0,34.0,59.0,101.0,173.0,2.0,3.0,1.0,5.0,2.0,9.0,4.0
402,Granges,,,,,,,,,2.0,,,,,,
403,Granges-Paccot,11.0,11.0,15.0,24.0,41.0,58.0,82.0,117.0,4.0,6.0,2.0,8.0,2.0,11.0,3.0
404,Gravesano,1.0,2.0,4.0,9.0,13.0,25.0,48.0,93.0,2.0,4.0,2.0,8.0,4.0,16.0,8.0
405,Grellingen,2.0,7.0,9.0,11.0,16.0,30.0,56.0,104.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
406,Grenchen,18.0,24.0,43.0,49.0,77.0,112.0,164.0,239.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
407,Grengiols,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
408,Grimentz,,,,,,,,,1.0,,,,,,
409,Grimisuat,3.0,6.0,13.0,16.0,34.0,64.0,120.0,226.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
410,Grindel,0.0,0.0,0.0,2.0,7.0,,,,1.0,,,,,,
411,Grindelwald,3.0,1.0,5.0,9.0,17.0,38.0,86.0,195.0,2.0,4.0,2.0,9.0,5.0,20.0,11.0
412,Gruyères,1.0,1.0,4.0,6.0,9.0,18.0,36.0,72.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
413,Gryon,1.0,2.0,2.0,3.0,7.0,12.0,20.0,35.0,2.0,3.0,1.0,5.0,2.0,9.0,4.0
414,Gränichen,12.0,13.0,22.0,33.0,54.0,80.0,118.0,174.0,3.0,4.0,1.0,6.0,2.0,9.0,3.0
415,Grône,1.0,1.0,1.0,3.0,13.0,30.0,71.0,165.0,1.0,2.0,1.0,5.0,3.0,12.0,7.0
416,Gstaad,,,,,,,,,4.0,,,,,,
417,Gsteigwiler,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0
418,Guarda,,,,,,,,,1.0,,,,,,
419,Gudo,,,,,,,,,1.0,,,,,,
420,Gumefens,,,,,,,,,1.0,,,,,,
421,Gunten,,,,,,,,,1.0,,,,,,
422,Gunzwil,,,,,,,,,1.0,,,,,,
423,Gurten,,,,,,,,,3.0,,,,,,
424,Gwatt,,,,,,,,,4.0,,,,,,
425,Gwatt (Thun),,,,,,,,,7.0,,,,,,
426,Gähwil,,,,,,,,,1.0,,,,,,
427,Gümligen,,,,,,,,,1.0,,,,,,
428,Güttingen,3.0,5.0,8.0,11.0,24.0,41.0,70.0,119.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
429,Haag,,,,,,,,,1.0,,,,,,
430,Hagneck Hagneck,,,,,,,,,1.0,,,,,,
431,"Haifa, Matam",,,,,,,,,1.0,,,,,,
432,Halblech,,,,,,,,,1.0,,,,,,
433,Handgruobi,,,,,,,,,4.0,,,,,,
434,Harsefeld,,,,,,,,,2.0,,,,,,
435,Haute-Nendaz,,,,,,,,,1.0,,,,,,
436,Hauterive,2.0,1.0,2.0,4.0,8.0,13.0,21.0,34.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
437,Heiden,9.0,9.0,11.0,17.0,30.0,41.0,57.0,79.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
438,Heimberg,12.0,13.0,20.0,28.0,47.0,67.0,95.0,136.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
439,Heimberg Heimberg,,,,,,,,,2.0,,,,,,
440,Hellbühl,,,,,,,,,1.0,,,,,,
441,Henggart,7.0,13.0,18.0,22.0,37.0,57.0,87.0,134.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
442,Hergiswil,,,,,,,,,1.0,,,,,,
443,Hergiswil bei Willisau,0.0,1.0,2.0,3.0,10.0,inf,inf,inf,1.0,inf,inf,,,,
444,Herisau,38.0,43.0,62.0,78.0,111.0,146.0,192.0,252.0,4.0,5.0,1.0,7.0,2.0,9.0,2.0
445,Hermetschwil-Staffeln,,,,,,,,,1.0,,,,,,
446,Herrliberg,23.0,28.0,48.0,71.0,96.0,138.0,199.0,287.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
447,Hessigkofen,,,,,,,,,2.0,,,,,,
448,Hindelbank,2.0,2.0,6.0,7.0,16.0,30.0,56.0,103.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
449,Hinwil,38.0,50.0,61.0,79.0,125.0,169.0,229.0,310.0,4.0,5.0,1.0,7.0,2.0,9.0,2.0
450,Hirschthal,6.0,6.0,7.0,17.0,25.0,38.0,57.0,87.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
451,Hitzkirch Hitzkirch,,,,,,,,,1.0,,,,,,
452,Hochdorf,12.0,12.0,22.0,37.0,65.0,102.0,160.0,251.0,3.0,5.0,2.0,8.0,3.0,13.0,5.0
453,Hofstetten,,,,,,,,,2.0,,,,,,
454,Hohenzell,,,,,,,,,1.0,,,,,,
455,Holderbank,,,,,,,,,1.0,,,,,,
456,Holziken,1.0,1.0,3.0,6.0,12.0,24.0,48.0,96.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
457,Horgen,42.0,53.0,99.0,166.0,271.0,436.0,702.0,1130.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
458,Horn,3.0,3.0,4.0,8.0,18.0,30.0,49.0,80.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
459,Horw,33.0,40.0,48.0,70.0,114.0,157.0,215.0,296.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
460,Hunzenschwil,6.0,8.0,10.0,20.0,33.0,51.0,80.0,125.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
461,Hägendorf,11.0,12.0,21.0,37.0,52.0,78.0,117.0,176.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
462,Hérémence,1.0,1.0,1.0,2.0,7.0,13.0,25.0,46.0,2.0,4.0,2.0,8.0,4.0,15.0,7.0
463,Hünenberg,25.0,30.0,51.0,76.0,125.0,189.0,285.0,429.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
464,Ibach,,,,,,,,,1.0,,,,,,
465,Icogne,0.0,0.0,3.0,4.0,7.0,,,,1.0,,,,,,
466,Ilanz,,,,,,,,,2.0,,,,,,
467,Illgau,1.0,1.0,0.0,0.0,0.0,,,,1.0,,,,,,
468,Illnau-Effretikon,40.0,46.0,67.0,96.0,134.0,182.0,247.0,336.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0
469,Ilnau,,,,,,,,,1.0,,,,,,
470,Immensee,,,,,,,,,1.0,,,,,,
471,Inden,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,
472,Ingolstadt,,,,,,,,,2.0,,,,,,
473,Interlaken,9.0,11.0,28.0,41.0,51.0,83.0,134.0,216.0,11.0,18.0,7.0,29.0,11.0,47.0,18.0
474,Inwil,1.0,1.0,3.0,6.0,17.0,38.0,83.0,183.0,3.0,7.0,4.0,15.0,8.0,33.0,18.0
475,Ittigen,22.0,20.0,30.0,29.0,57.0,76.0,102.0,136.0,3.0,4.0,1.0,5.0,1.0,7.0,2.0
476,Jaun,1.0,1.0,1.0,1.0,3.0,4.0,7.0,10.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0
477,Jegenstorf,11.0,17.0,25.0,34.0,48.0,69.0,100.0,145.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
478,Jona,,,,,,,,,1.0,,,,,,
479,Jona SG,,,,,,,,,2.0,,,,,,
480,Jork,,,,,,,,,1.0,,,,,,
481,Kaiseraugst,6.0,9.0,19.0,27.0,41.0,67.0,110.0,180.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
482,Kaisten,3.0,4.0,11.0,18.0,28.0,51.0,93.0,168.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
483,Kallnach,2.0,3.0,4.0,10.0,17.0,30.0,53.0,92.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
484,Kaltbrunn,9.0,12.0,16.0,28.0,42.0,62.0,92.0,136.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
485,Kamenz,,,,,,,,,2.0,,,,,,
486,Kandergrund,0.0,0.0,0.0,0.0,1.0,,,,1.0,,,,,,
487,Kaufdorf,2.0,4.0,6.0,5.0,6.0,8.0,11.0,16.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
488,Kehrsatz,9.0,13.0,15.0,24.0,38.0,55.0,79.0,115.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
489,Kerns,21.0,24.0,32.0,42.0,67.0,90.0,121.0,163.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
490,Kerzers,11.0,13.0,21.0,29.0,41.0,57.0,80.0,112.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
491,Kirchberg,,,,,,,,,2.0,,,,,,
492,Kirchleerau,4.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
493,Kleindietwil,,,,,,,,,1.0,,,,,,
494,Kleindöttingen,,,,,,,,,1.0,,,,,,
495,Klingnau,2.0,4.0,11.0,14.0,25.0,49.0,95.0,186.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
496,Klosterneuburg,,,,,,,,,1.0,,,,,,
497,Klosters,2.0,2.0,4.0,8.0,15.0,26.0,44.0,76.0,3.0,5.0,2.0,8.0,3.0,14.0,6.0
498,Klosters-Serneus,,,,,,,,,2.0,,,,,,
499,Kloten,28.0,46.0,70.0,101.0,224.0,382.0,652.0,1113.0,4.0,7.0,3.0,12.0,5.0,20.0,8.0
500,Kreuzlingen,39.0,55.0,81.0,116.0,203.0,308.0,467.0,708.0,6.0,9.0,3.0,14.0,5.0,21.0,7.0
501,Kriegstetten,3.0,3.0,4.0,8.0,11.0,16.0,22.0,32.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
502,Kriens,22.0,27.0,45.0,88.0,143.0,231.0,375.0,606.0,27.0,44.0,17.0,71.0,27.0,115.0,44.0
503,Kölliken,8.0,13.0,18.0,24.0,33.0,47.0,67.0,96.0,4.0,6.0,2.0,9.0,3.0,13.0,4.0
504,Köniz,30.0,43.0,74.0,117.0,205.0,332.0,539.0,875.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
505,Küblis,2.0,2.0,2.0,4.0,7.0,10.0,14.0,21.0,3.0,4.0,1.0,6.0,2.0,9.0,3.0
506,Künten,2.0,2.0,6.0,11.0,15.0,27.0,49.0,87.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
507,Küsnacht,,,,,,,,,3.0,,,,,,
508,Küssnacht,,,,,,,,,2.0,,,,,,
509,L'Abbaye,1.0,3.0,8.0,12.0,20.0,44.0,98.0,215.0,1.0,2.0,1.0,4.0,2.0,9.0,5.0
510,L'Abergement,0.0,0.0,0.0,1.0,1.0,,,,1.0,,,,,,
511,L'Etivaz,,,,,,,,,1.0,,,,,,
512,L'Orient,,,,,,,,,1.0,,,,,,
513,La Chaux-de-Fonds,28.0,35.0,50.0,76.0,138.0,207.0,312.0,469.0,13.0,20.0,7.0,30.0,10.0,45.0,15.0
514,La Conversion,,,,,,,,,1.0,,,,,,
515,La Ferté-Gaucher,,,,,,,,,1.0,,,,,,
516,La Forclaz,,,,,,,,,1.0,,,,,,
517,La Heutte,,,,,,,,,1.0,,,,,,
518,La Neuveville,1.0,4.0,8.0,24.0,32.0,83.0,214.0,552.0,2.0,5.0,3.0,13.0,8.0,34.0,21.0
519,La Roche,4.0,4.0,6.0,9.0,13.0,18.0,24.0,33.0,3.0,4.0,1.0,5.0,1.0,7.0,2.0
520,La Sagne,1.0,1.0,1.0,1.0,6.0,14.0,30.0,68.0,2.0,5.0,3.0,11.0,6.0,25.0,14.0
521,La Sarraz,2.0,5.0,8.0,12.0,16.0,28.0,48.0,83.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
522,La Tour-de-Peilz,8.0,16.0,29.0,40.0,65.0,111.0,189.0,322.0,6.0,10.0,4.0,17.0,7.0,29.0,12.0
523,La Tour-de-Trême,,,,,,,,,1.0,,,,,,
524,La Tzoumaz,,,,,,,,,1.0,,,,,,
525,La Vernaz,,,,,,,,,1.0,,,,,,
526,Laax,2.0,2.0,7.0,13.0,22.0,44.0,89.0,179.0,2.0,4.0,2.0,8.0,4.0,16.0,8.0
527,Lamone,3.0,3.0,7.0,12.0,22.0,38.0,65.0,112.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
528,Lancy,17.0,26.0,50.0,101.0,159.0,280.0,493.0,869.0,5.0,9.0,4.0,16.0,7.0,28.0,12.0
529,Landquart,17.0,19.0,26.0,35.0,66.0,94.0,135.0,193.0,3.0,4.0,1.0,6.0,2.0,9.0,3.0
530,Langendorf,2.0,2.0,1.0,6.0,17.0,44.0,113.0,293.0,2.0,5.0,3.0,13.0,8.0,34.0,21.0
531,Langenthal,31.0,35.0,68.0,89.0,246.0,439.0,785.0,1402.0,18.0,32.0,14.0,57.0,25.0,102.0,45.0
532,Lantsch/Lenz,1.0,1.0,1.0,0.0,2.0,inf,inf,inf,1.0,inf,inf,,,,
533,Lauenen b. Gstaad,,,,,,,,,2.0,,,,,,
534,Laufen,12.0,17.0,26.0,32.0,40.0,54.0,74.0,100.0,3.0,4.0,1.0,5.0,1.0,7.0,2.0
535,Laupen,3.0,4.0,10.0,12.0,18.0,29.0,48.0,78.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
536,Lausanne,113.0,146.0,240.0,363.0,570.0,858.0,1290.0,1942.0,40.0,60.0,20.0,90.0,30.0,135.0,45.0
537,Lausen,4.0,6.0,10.0,19.0,38.0,67.0,119.0,210.0,2.0,4.0,2.0,7.0,3.0,12.0,5.0
