,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,diff_2022,recomm_2023,diff_2023,recomm_2024,diff_2024
60,Babenhausen,,,,,,,,,2.0,,,,,,
61,Bachenbülach,8.0,11.0,21.0,35.0,72.0,126.0,221.0,387.0,3.0,5.0,2.0,9.0,4.0,16.0,7.0
62,Bad Ragaz,3.0,4.0,10.0,21.0,45.0,91.0,183.0,370.0,4.0,8.0,4.0,16.0,8.0,32.0,16.0
63,Bad Zurzach,7.0,9.0,14.0,18.0,24.0,33.0,45.0,61.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
64,Baden,44.0,55.0,81.0,116.0,203.0,300.0,442.0,653.0,10.0,15.0,5.0,22.0,7.0,33.0,11.0
65,Baden-Dättwil,,,,,,,,,1.0,,,,,,
66,Balerna,1.0,1.0,2.0,5.0,24.0,62.0,159.0,410.0,2.0,5.0,3.0,13.0,8.0,34.0,21.0
67,Balgach,7.0,11.0,20.0,35.0,43.0,68.0,109.0,174.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
68,Ballaigues,0.0,1.0,2.0,5.0,8.0,inf,inf,inf,2.0,inf,inf,,,,
69,Ballens,0.0,0.0,1.0,2.0,8.0,,,,1.0,,,,,,
70,Ballwil,3.0,8.0,15.0,24.0,28.0,51.0,93.0,171.0,2.0,4.0,2.0,7.0,3.0,13.0,6.0
71,Barmelweid,,,,,,,,,1.0,,,,,,
72,Bas-Vully,,,,,,,,,1.0,,,,,,
73,Basel,157.0,207.0,332.0,511.0,785.0,1177.0,1765.0,2646.0,5.0,7.0,2.0,10.0,3.0,15.0,5.0
74,Bauen,,,,,,,,,1.0,,,,,,
75,Bauma,9.0,15.0,21.0,24.0,36.0,51.0,73.0,105.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
76,Bavois,4.0,5.0,6.0,7.0,12.0,16.0,21.0,28.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
77,Bazenheid,,,,,,,,,1.0,,,,,,
78,Beckenried,9.0,11.0,20.0,25.0,37.0,53.0,77.0,111.0,3.0,4.0,1.0,6.0,2.0,9.0,3.0
79,Bedano,5.0,5.0,8.0,11.0,24.0,37.0,57.0,88.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
80,Bedigliora,0.0,0.0,0.0,0.0,2.0,,,,1.0,,,,,,
81,Belfaux,2.0,2.0,5.0,10.0,12.0,20.0,34.0,56.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
82,Bellach,23.0,23.0,31.0,44.0,58.0,74.0,94.0,119.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0
83,Bellevue GE,,,,,,,,,2.0,,,,,,
84,Bellinzona,59.0,78.0,118.0,173.0,296.0,445.0,669.0,1005.0,9.0,14.0,5.0,21.0,7.0,32.0,11.0
85,Bellwald,2.0,2.0,4.0,4.0,5.0,7.0,9.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
86,Belp,20.0,23.0,32.0,42.0,74.0,104.0,146.0,205.0,4.0,6.0,2.0,8.0,2.0,11.0,3.0
87,Bendern,,,,,,,,,1.0,,,,,,
88,Benken,,,,,,,,,1.0,,,,,,
89,Bercher,2.0,2.0,4.0,7.0,11.0,17.0,27.0,43.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
90,Berg SG,,,,,,,,,1.0,,,,,,
91,Bergün,,,,,,,,,1.0,,,,,,
92,Berikon,5.0,10.0,13.0,18.0,29.0,46.0,72.0,113.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
93,Bern,178.0,227.0,329.0,489.0,820.0,1207.0,1777.0,2615.0,37.0,54.0,17.0,80.0,26.0,118.0,38.0
94,Bern 22,,,,,,,,,1.0,,,,,,
95,Bern Kirchenfeld-Schosshalde,,,,,,,,,1.0,,,,,,
96,Bernex,6.0,7.0,16.0,34.0,63.0,117.0,217.0,404.0,5.0,9.0,4.0,17.0,8.0,32.0,15.0
97,Besazio,,,,,,,,,1.0,,,,,,
98,Bettwil,1.0,6.0,12.0,16.0,21.0,56.0,149.0,396.0,17.0,45.0,28.0,120.0,75.0,319.0,199.0
99,Bevaix,,,,,,,,,2.0,,,,,,
100,Bever,1.0,3.0,4.0,2.0,3.0,5.0,8.0,12.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0
101,Bevern,,,,,,,,,1.0,,,,,,
102,Bex,9.0,8.0,12.0,19.0,49.0,80.0,131.0,215.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
103,Biasca,11.0,14.0,19.0,26.0,39.0,54.0,74.0,101.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
