,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,recomm_2023,recom_2024
299,Gonten,1,2,3,6,11,20.0,37.0,68.0,1.0,2.0,4.0,7.0
300,Oberegg,5,7,8,9,15,20.0,27.0,36.0,1.0,1.0,1.0,1.0
301,Muolen,2,3,5,6,10,15.0,23.0,34.0,1.0,2.0,3.0,4.0
302,St. Gallen,135,178,265,414,664,992.0,1481.0,2211.0,39.0,58.0,87.0,130.0
303,Wittenbach,8,12,18,35,75,133.0,235.0,417.0,3.0,5.0,9.0,16.0
304,Goldach,17,19,25,43,66,94.0,133.0,190.0,3.0,4.0,6.0,9.0
305,Mörschwil,9,10,17,25,51,81.0,127.0,201.0,1.0,2.0,3.0,5.0
306,Rorschach,11,13,19,33,44,63.0,90.0,128.0,1.0,1.0,1.0,1.0
307,Rorschacherberg,2,4,9,19,37,77.0,160.0,332.0,1.0,2.0,4.0,8.0
308,Steinach,3,4,9,17,29,52.0,93.0,168.0,2.0,4.0,7.0,13.0
309,Balgach,7,11,20,35,43,68.0,109.0,174.0,1.0,2.0,3.0,5.0
310,Diepoldsau,6,10,21,31,55,96.0,169.0,297.0,1.0,2.0,4.0,7.0
311,St. Margrethen,10,9,11,15,25,32.0,41.0,53.0,2.0,3.0,4.0,5.0
312,Thal,8,14,23,33,64,108.0,183.0,310.0,1.0,2.0,3.0,5.0
313,Altstätten,15,23,33,59,97,155.0,248.0,397.0,3.0,5.0,8.0,13.0
314,Gams,8,14,20,26,41,62.0,94.0,142.0,2.0,3.0,5.0,8.0
315,Grabs,11,18,26,42,54,81.0,121.0,181.0,1.0,2.0,3.0,4.0
316,Sennwald,18,22,30,45,64,88.0,121.0,167.0,2.0,3.0,4.0,6.0
317,Sevelen,5,10,19,33,46,81.0,142.0,250.0,2.0,4.0,7.0,12.0
318,Bad Ragaz,3,4,10,21,45,91.0,183.0,370.0,4.0,8.0,16.0,32.0
319,Flums,6,8,11,19,29,43.0,64.0,96.0,4.0,6.0,9.0,14.0
320,Mels,7,12,15,27,47,76.0,124.0,202.0,6.0,10.0,16.0,26.0
321,Vilters-Wangs,14,21,29,30,43,57.0,77.0,103.0,1.0,1.0,1.0,1.0
322,Walenstadt,4,6,11,14,33,57.0,100.0,174.0,3.0,5.0,9.0,16.0
323,Amden,4,3,4,5,6,7.0,8.0,9.0,2.0,2.0,2.0,2.0
324,Kaltbrunn,9,12,16,28,42,62.0,92.0,136.0,1.0,1.0,1.0,1.0
325,Weesen,5,5,8,13,23,34.0,52.0,77.0,2.0,3.0,5.0,7.0
326,Schmerikon,13,12,19,30,39,53.0,71.0,95.0,3.0,4.0,5.0,7.0
327,Uznach,4,6,10,19,43,79.0,144.0,265.0,2.0,4.0,7.0,13.0
328,Gommiswald,11,12,17,34,59,92.0,144.0,224.0,2.0,3.0,5.0,8.0
329,Ebnat-Kappel,6,7,13,20,43,72.0,121.0,203.0,2.0,3.0,5.0,8.0
330,Nesslau,4,3,7,9,12,17.0,24.0,35.0,1.0,1.0,1.0,1.0
331,Lichtensteig,1,3,5,10,17,36.0,74.0,156.0,1.0,2.0,4.0,8.0
332,Wattwil,10,14,24,30,54,83.0,128.0,198.0,3.0,5.0,8.0,12.0
333,Mosnang,2,5,8,11,22,41.0,77.0,144.0,2.0,4.0,8.0,15.0
334,Flawil,17,20,30,37,64,90.0,127.0,179.0,5.0,7.0,10.0,14.0
335,Oberuzwil,5,8,16,28,57,105.0,194.0,359.0,3.0,6.0,11.0,20.0
336,Niederbüren,4,4,6,8,12,16.0,21.0,28.0,1.0,1.0,1.0,1.0
337,Waldkirch,8,12,16,19,29,40.0,56.0,77.0,1.0,1.0,1.0,1.0
338,Lantsch/Lenz,1,1,1,0,2,inf,inf,inf,1.0,inf,,
339,Brusio,1,1,1,3,4,6.0,10.0,16.0,2.0,3.0,5.0,8.0
340,Poschiavo,13,18,19,23,34,44.0,56.0,72.0,4.0,5.0,6.0,8.0
341,Falera,1,0,2,3,4,inf,inf,inf,2.0,inf,,
342,Laax,2,2,7,13,22,44.0,89.0,179.0,2.0,4.0,8.0,16.0
343,Vals,3,3,3,5,5,6.0,7.0,8.0,1.0,1.0,1.0,1.0
344,Fürstenau,0,1,2,2,3,inf,inf,inf,1.0,inf,,
345,Thusis,4,7,8,14,19,28.0,43.0,64.0,4.0,6.0,9.0,13.0
346,Andeer,2,3,6,6,6,8.0,11.0,16.0,1.0,1.0,1.0,1.0
347,Zernez,1,1,2,5,5,8.0,13.0,21.0,4.0,6.0,10.0,16.0
348,Scuol,9,9,13,20,31,43.0,59.0,82.0,3.0,4.0,5.0,7.0
349,Bever,1,3,4,2,3,5.0,8.0,12.0,1.0,2.0,3.0,4.0
350,Celerina/Schlarigna,4,3,6,9,11,15.0,21.0,28.0,3.0,4.0,6.0,8.0
351,Madulain,0,0,0,0,0,,,,1.0,,,
352,Pontresina,6,8,12,15,18,24.0,31.0,41.0,8.0,11.0,14.0,19.0
353,Samedan,6,7,10,15,21,29.0,40.0,54.0,5.0,7.0,10.0,14.0
354,St. Moritz,17,21,24,34,52,69.0,92.0,123.0,7.0,9.0,12.0,16.0
355,Silvaplana,3,4,3,3,6,8.0,10.0,12.0,4.0,5.0,6.0,7.0
356,Zuoz,1,1,3,5,9,17.0,31.0,59.0,2.0,4.0,7.0,13.0
357,Mesocco,2,4,3,6,10,16.0,26.0,41.0,1.0,2.0,3.0,5.0
358,Davos,13,17,29,37,55,79.0,115.0,166.0,12.0,17.0,25.0,36.0
359,Furna,0,0,0,0,0,,,,1.0,,,
360,Klosters,2,2,4,8,15,26.0,44.0,76.0,3.0,5.0,8.0,14.0
361,Küblis,2,2,2,4,7,10.0,14.0,21.0,3.0,4.0,6.0,9.0
362,Chur,47,68,100,169,304,487.0,780.0,1249.0,13.0,21.0,34.0,54.0
363,Churwalden,0,1,2,4,12,inf,inf,inf,1.0,inf,,
364,Arosa,7,9,13,16,27,38.0,54.0,76.0,6.0,8.0,11.0,15.0
365,Untervaz,5,5,6,7,13,17.0,22.0,29.0,1.0,1.0,1.0,1.0
366,Zizers,6,9,12,20,30,45.0,68.0,101.0,2.0,3.0,5.0,7.0
367,Fläsch,5,7,10,12,15,20.0,26.0,34.0,1.0,1.0,1.0,1.0
368,Maienfeld,11,17,26,36,56,84.0,127.0,190.0,3.0,4.0,6.0,9.0
369,Landquart,17,19,26,35,66,94.0,135.0,193.0,3.0,4.0,6.0,9.0
370,Schiers,0,1,2,5,11,inf,inf,inf,1.0,inf,,
371,Disentis/Mustér,0,2,5,7,13,inf,inf,inf,1.0,inf,,
372,Trun,1,0,0,4,7,,,,1.0,,,
373,Aarau,44,67,106,145,227,343.0,517.0,781.0,16.0,24.0,36.0,54.0
374,Gränichen,12,13,22,33,54,80.0,118.0,174.0,3.0,4.0,6.0,9.0
375,Hirschthal,6,6,7,17,25,38.0,57.0,87.0,1.0,2.0,3.0,5.0
376,Oberentfelden,5,8,13,26,39,66.0,110.0,185.0,5.0,8.0,13.0,22.0
377,Suhr,10,15,21,26,43,62.0,90.0,131.0,2.0,3.0,4.0,6.0
378,Unterentfelden,4,6,7,17,39,72.0,133.0,246.0,4.0,7.0,13.0,24.0
379,Baden,44,55,81,116,203,300.0,442.0,653.0,10.0,15.0,22.0,33.0
380,Gebenstorf,9,10,17,29,45,68.0,104.0,157.0,1.0,2.0,3.0,5.0
381,Künten,2,2,6,11,15,27.0,49.0,87.0,1.0,2.0,4.0,7.0
382,Mägenwil,8,7,11,14,18,23.0,28.0,35.0,1.0,1.0,1.0,1.0
383,Mellingen,12,15,17,24,43,60.0,84.0,117.0,1.0,1.0,1.0,1.0
384,Neuenhof,6,6,11,16,31,48.0,75.0,117.0,1.0,2.0,3.0,5.0
385,Oberrohrdorf,9,13,24,32,59,95.0,154.0,249.0,1.0,2.0,3.0,5.0
386,Spreitenbach,9,14,24,30,46,70.0,105.0,159.0,10.0,15.0,22.0,33.0
387,Turgi,5,5,9,14,21,31.0,45.0,66.0,2.0,3.0,4.0,6.0
388,Untersiggenthal,15,16,25,48,70,105.0,158.0,237.0,1.0,2.0,3.0,4.0
389,Wettingen,21,29,59,96,154,256.0,425.0,707.0,2.0,3.0,5.0,8.0
390,Würenlingen,9,6,8,12,31,47.0,72.0,109.0,1.0,2.0,3.0,5.0
391,Berikon,5,10,13,18,29,46.0,72.0,113.0,2.0,3.0,5.0,8.0
392,Dottikon,6,9,13,20,39,63.0,101.0,162.0,2.0,3.0,5.0,8.0
393,Sarmenstorf,14,15,24,31,39,51.0,66.0,87.0,3.0,4.0,5.0,7.0
394,Villmergen,14,18,27,22,39,52.0,70.0,95.0,4.0,5.0,7.0,10.0
395,Widen,6,7,13,23,36,57.0,91.0,145.0,2.0,3.0,5.0,8.0
396,Bözen,0,2,1,2,8,inf,inf,inf,1.0,inf,,
397,Brugg,25,24,61,51,93,143.0,221.0,340.0,4.0,6.0,9.0,14.0
398,Lupfig,5,6,13,18,27,42.0,66.0,103.0,2.0,3.0,5.0,8.0
399,Remigen,1,1,1,5,11,25.0,58.0,134.0,1.0,2.0,5.0,12.0
400,Villnachern,3,4,7,9,15,23.0,34.0,52.0,1.0,2.0,3.0,5.0
401,Windisch,12,20,30,39,58,86.0,129.0,191.0,2.0,3.0,4.0,6.0
402,Holziken,1,1,3,6,12,24.0,48.0,96.0,1.0,2.0,4.0,8.0
403,Menziken,6,7,12,24,42,70.0,115.0,191.0,1.0,2.0,3.0,5.0
404,Schöftland,8,9,10,17,31,45.0,64.0,93.0,1.0,1.0,1.0,1.0
405,Unterkulm,1,2,8,13,17,38.0,85.0,189.0,1.0,2.0,4.0,9.0
406,Frick,12,11,15,27,56,86.0,133.0,204.0,4.0,6.0,9.0,14.0
407,Kaisten,3,4,11,18,28,51.0,93.0,168.0,1.0,2.0,4.0,7.0
408,Oeschgen,0,2,3,7,12,inf,inf,inf,1.0,inf,,
409,Sisseln,2,2,3,6,14,24.0,41.0,70.0,3.0,5.0,9.0,15.0
410,Dintikon,9,8,10,22,33,48.0,70.0,103.0,4.0,6.0,9.0,13.0
411,Fahrwangen,2,6,9,17,21,40.0,76.0,145.0,1.0,2.0,4.0,8.0
412,Hunzenschwil,6,8,10,20,33,51.0,80.0,125.0,2.0,3.0,5.0,8.0
413,Lenzburg,20,30,48,67,103,155.0,234.0,353.0,6.0,9.0,14.0,21.0
414,Meisterschwanden,10,13,23,37,56,87.0,134.0,208.0,2.0,3.0,5.0,8.0
415,Othmarsingen,7,10,14,20,32,47.0,69.0,100.0,2.0,3.0,4.0,6.0
416,Rupperswil,18,14,18,33,57,80.0,113.0,158.0,2.0,3.0,4.0,6.0
417,Seengen,13,15,22,41,61,91.0,136.0,203.0,1.0,1.0,1.0,1.0
418,Seon,7,14,17,23,33,50.0,74.0,111.0,2.0,3.0,4.0,6.0
419,Abtwil,2,2,4,6,14,24.0,41.0,70.0,1.0,2.0,3.0,5.0
420,Auw,3,3,8,6,15,26.0,45.0,78.0,1.0,2.0,3.0,5.0
421,Bettwil,1,6,12,16,21,56.0,149.0,396.0,17.0,45.0,120.0,319.0
422,Boswil,6,7,10,15,23,32.0,46.0,64.0,1.0,1.0,1.0,1.0
423,Oberrüti,2,2,3,6,7,10.0,14.0,20.0,2.0,3.0,4.0,6.0
424,Kaiseraugst,6,9,19,27,41,67.0,110.0,180.0,2.0,3.0,5.0,8.0
425,Mumpf,6,9,12,14,25,36.0,52.0,76.0,2.0,3.0,4.0,6.0
426,Rheinfelden,19,31,41,56,88,130.0,191.0,281.0,1.0,1.0,1.0,1.0
427,Bottenwil,3,3,4,7,10,14.0,19.0,26.0,1.0,1.0,1.0,1.0
428,Kirchleerau,4,2,2,3,4,4.0,5.0,5.0,1.0,1.0,1.0,1.0
429,Kölliken,8,13,18,24,33,47.0,67.0,96.0,4.0,6.0,9.0,13.0
430,Oftringen,11,17,28,43,84,140.0,234.0,392.0,3.0,5.0,8.0,13.0
431,Reitnau,4,5,7,11,14,19.0,26.0,36.0,1.0,1.0,1.0,1.0
432,Rothrist,13,17,27,44,79,125.0,197.0,312.0,4.0,6.0,9.0,14.0
433,Safenwil,9,16,24,34,61,99.0,161.0,260.0,5.0,8.0,13.0,21.0
434,Vordemwald,6,5,9,14,21,30.0,42.0,60.0,1.0,1.0,1.0,1.0
435,Zofingen,16,18,34,60,91,143.0,225.0,355.0,1.0,2.0,3.0,5.0
436,Döttingen,11,14,19,24,30,39.0,50.0,64.0,1.0,1.0,1.0,1.0
437,Klingnau,2,4,11,14,25,49.0,95.0,186.0,1.0,2.0,4.0,8.0
438,Bad Zurzach,7,9,14,18,24,33.0,45.0,61.0,1.0,1.0,1.0,1.0
439,Arbon,20,22,131,59,92,208.0,472.0,1071.0,5.0,11.0,25.0,57.0
440,Egnach,7,8,14,23,44,71.0,114.0,184.0,1.0,2.0,3.0,5.0
441,Horn,3,3,4,8,18,30.0,49.0,80.0,1.0,2.0,3.0,5.0
442,Amriswil,12,15,24,53,95,163.0,279.0,477.0,3.0,5.0,9.0,15.0
443,Bischofszell,10,13,16,28,50,76.0,115.0,174.0,2.0,3.0,5.0,8.0
444,Sulgen,5,6,7,11,23,35.0,52.0,79.0,2.0,3.0,4.0,6.0
445,Diessenhofen,6,8,11,21,28,42.0,62.0,92.0,1.0,2.0,3.0,4.0
446,Aadorf,29,31,43,69,135,203.0,305.0,460.0,2.0,3.0,5.0,8.0
447,Frauenfeld,57,70,116,172,267,395.0,585.0,866.0,10.0,15.0,22.0,33.0
448,Ermatingen,10,13,25,38,70,115.0,190.0,312.0,1.0,2.0,3.0,5.0
449,Güttingen,3,5,8,11,24,41.0,70.0,119.0,1.0,2.0,3.0,5.0
450,Kreuzlingen,39,55,81,116,203,308.0,467.0,708.0,6.0,9.0,14.0,21.0
451,Münsterlingen,8,10,79,18,35,99.0,280.0,794.0,1.0,3.0,8.0,23.0
452,Tägerwilen,14,14,26,45,77,121.0,191.0,301.0,6.0,9.0,14.0,22.0
453,Wäldi,2,2,6,12,14,25.0,45.0,81.0,1.0,2.0,4.0,7.0
454,Sirnach,20,21,38,65,98,149.0,226.0,344.0,2.0,3.0,5.0,8.0
455,Müllheim,4,6,10,27,40,73.0,135.0,248.0,1.0,2.0,4.0,7.0
456,Salenstein,4,7,10,18,25,40.0,63.0,101.0,1.0,2.0,3.0,5.0
457,Amlikon-Bissegg,1,1,3,6,10,19.0,37.0,70.0,1.0,2.0,4.0,8.0
458,Märstetten,10,11,16,20,32,43.0,58.0,79.0,1.0,1.0,1.0,1.0
459,Weinfelden,33,35,63,96,146,216.0,318.0,470.0,3.0,4.0,6.0,9.0
460,Bellinzona,59,78,118,173,296,445.0,669.0,1005.0,9.0,14.0,21.0,32.0
461,Lumino,4,5,6,8,17,25.0,37.0,55.0,1.0,1.0,1.0,1.0
462,Sant'Antonino,1,2,4,5,14,28.0,57.0,114.0,4.0,8.0,16.0,32.0
463,Airolo,2,2,4,6,6,8.0,11.0,16.0,1.0,1.0,1.0,1.0
464,Faido,1,1,1,11,20,74.0,274.0,1017.0,1.0,4.0,15.0,56.0
465,Pollegio,1,1,1,3,7,13.0,24.0,43.0,1.0,2.0,4.0,7.0
466,Quinto,1,1,0,2,5,inf,inf,inf,1.0,inf,,
467,Brione sopra Minusio,4,3,3,6,9,12.0,16.0,20.0,1.0,1.0,1.0,1.0
468,Brissago,5,5,5,9,12,15.0,20.0,25.0,1.0,1.0,1.0,1.0
469,Gordola,4,5,11,19,49,95.0,184.0,357.0,1.0,2.0,4.0,8.0
470,Locarno,22,24,31,41,67,89.0,119.0,159.0,11.0,15.0,20.0,27.0
471,Losone,7,9,13,24,54,92.0,157.0,268.0,3.0,5.0,9.0,15.0
472,Minusio,5,9,15,27,54,98.0,178.0,324.0,3.0,5.0,9.0,16.0
473,Muralto,6,9,14,17,20,27.0,37.0,50.0,2.0,3.0,4.0,5.0
474,Agno,3,5,6,9,21,35.0,59.0,99.0,1.0,2.0,3.0,5.0
475,Aranno,1,1,1,1,3,4.0,7.0,10.0,1.0,1.0,2.0,3.0
476,Bedano,5,5,8,11,24,37.0,57.0,88.0,1.0,2.0,3.0,5.0
477,Bedigliora,0,0,0,0,2,,,,1.0,,,
478,Bioggio,13,18,25,44,62,92.0,137.0,203.0,2.0,3.0,4.0,6.0
479,Bissone,5,4,4,6,8,9.0,11.0,12.0,1.0,1.0,1.0,1.0
480,Brusino Arsizio,0,0,0,1,2,,,,1.0,,,
481,Cadempino,3,2,5,13,16,28.0,49.0,86.0,3.0,5.0,9.0,16.0
482,Caslano,2,5,5,7,16,29.0,52.0,93.0,1.0,2.0,4.0,7.0
483,Comano,14,12,14,18,28,34.0,41.0,50.0,1.0,1.0,1.0,1.0
484,Grancia,2,3,4,1,3,5.0,7.0,11.0,1.0,2.0,3.0,5.0
485,Gravesano,1,2,4,9,13,25.0,48.0,93.0,2.0,4.0,8.0,16.0
486,Lamone,3,3,7,12,22,38.0,65.0,112.0,1.0,2.0,3.0,5.0
487,Lugano,118,140,224,343,543,801.0,1182.0,1743.0,13.0,19.0,28.0,41.0
488,Magliaso,5,6,9,10,12,15.0,19.0,24.0,1.0,1.0,1.0,1.0
489,Manno,7,8,10,17,27,38.0,54.0,77.0,1.0,1.0,1.0,1.0
490,Massagno,8,8,11,16,29,41.0,58.0,81.0,1.0,1.0,1.0,1.0
491,Melide,3,5,8,10,18,28.0,45.0,71.0,2.0,3.0,5.0,8.0
492,Miglieglia,1,2,3,3,3,4.0,6.0,8.0,1.0,1.0,2.0,3.0
493,Muzzano,1,2,4,9,13,25.0,48.0,93.0,3.0,6.0,12.0,23.0
494,Novaggio,1,1,2,2,4,6.0,9.0,14.0,1.0,2.0,3.0,5.0
495,Origlio,3,4,4,10,18,30.0,50.0,82.0,1.0,2.0,3.0,5.0
496,Paradiso,12,15,22,38,63,96.0,147.0,224.0,1.0,2.0,3.0,5.0
497,Rovio,3,3,6,9,9,12.0,17.0,23.0,1.0,1.0,1.0,1.0
498,Sorengo,7,8,11,12,18,23.0,29.0,38.0,1.0,1.0,1.0,1.0
499,Torricella-Taverne,2,3,4,7,19,35.0,63.0,115.0,2.0,4.0,7.0,13.0
500,Vernate,4,5,6,13,18,27.0,41.0,61.0,1.0,2.0,3.0,4.0
501,Vezia,6,5,6,7,11,13.0,16.0,19.0,1.0,1.0,1.0,1.0
502,Balerna,1,1,2,5,24,62.0,159.0,410.0,2.0,5.0,13.0,34.0
503,Chiasso,14,16,23,30,42,55.0,73.0,97.0,5.0,7.0,9.0,12.0
504,Coldrerio,4,5,7,17,21,33.0,52.0,83.0,1.0,2.0,3.0,5.0
505,Mendrisio,32,34,45,80,159,245.0,376.0,578.0,12.0,18.0,28.0,43.0
506,Morbio Inferiore,0,5,10,18,30,inf,inf,inf,3.0,inf,,
507,Novazzano,1,4,6,17,26,64.0,158.0,390.0,1.0,2.0,5.0,12.0
508,Riva San Vitale,6,8,13,9,18,25.0,36.0,51.0,1.0,1.0,1.0,1.0
509,Stabio,9,9,10,23,36,54.0,80.0,120.0,2.0,3.0,4.0,6.0
510,Vacallo,3,3,4,8,18,30.0,49.0,80.0,1.0,2.0,3.0,5.0
511,Biasca,11,14,19,26,39,54.0,74.0,101.0,1.0,1.0,1.0,1.0
512,Cevio,1,1,3,7,10,19.0,38.0,73.0,1.0,2.0,4.0,8.0
513,Gambarogno,12,14,21,33,53,77.0,113.0,165.0,1.0,1.0,1.0,1.0
514,Aigle,12,15,17,35,46,66.0,95.0,137.0,7.0,10.0,14.0,20.0
515,Bex,9,8,12,19,49,80.0,131.0,215.0,2.0,3.0,5.0,8.0
516,Gryon,1,2,2,3,7,12.0,20.0,35.0,2.0,3.0,5.0,9.0
517,Leysin,1,2,1,1,3,5.0,8.0,13.0,1.0,2.0,3.0,5.0
518,Noville,0,0,0,1,6,,,,1.0,,,
519,Ollon,14,23,33,41,80,125.0,197.0,308.0,1.0,2.0,3.0,5.0
520,Rennaz,1,1,1,3,6,10.0,18.0,32.0,2.0,3.0,5.0,9.0
521,Aubonne,11,15,19,30,51,75.0,111.0,164.0,2.0,3.0,4.0,6.0
522,Ballens,0,0,1,2,8,,,,1.0,,,
523,Bière,0,0,1,2,7,,,,1.0,,,
524,Bougy-Villars,2,3,6,9,10,15.0,23.0,36.0,2.0,3.0,5.0,8.0
525,Féchy,1,1,1,4,13,30.0,70.0,161.0,1.0,2.0,5.0,12.0
526,Saint-George,1,2,5,6,11,21.0,39.0,73.0,1.0,2.0,4.0,7.0
527,Avenches,3,4,4,9,23,41.0,73.0,131.0,2.0,4.0,7.0,13.0
528,Cudrefin,3,2,3,10,19,35.0,65.0,120.0,1.0,2.0,4.0,7.0
529,Eclépens,2,2,3,8,9,14.0,22.0,35.0,1.0,2.0,3.0,5.0
530,Orny,1,1,1,3,5,8.0,14.0,23.0,1.0,2.0,4.0,7.0
531,La Sarraz,2,5,8,12,16,28.0,48.0,83.0,1.0,2.0,3.0,5.0
532,Bercher,2,2,4,7,11,17.0,27.0,43.0,1.0,2.0,3.0,5.0
533,Echallens,4,6,11,22,42,76.0,138.0,249.0,2.0,4.0,7.0,13.0
534,Etagnières,2,3,5,9,15,25.0,41.0,68.0,1.0,2.0,3.0,5.0
535,Champagne,1,3,5,14,21,47.0,106.0,237.0,2.0,4.0,9.0,20.0
536,Grandson,4,6,10,21,34,59.0,101.0,173.0,2.0,3.0,5.0,9.0
537,Cheseaux-sur-Lausanne,5,7,14,23,43,74.0,128.0,222.0,3.0,5.0,9.0,16.0
538,Crissier,11,14,31,52,81,136.0,229.0,384.0,8.0,13.0,22.0,37.0
539,Epalinges,16,23,27,55,100,162.0,261.0,423.0,2.0,3.0,5.0,8.0
540,Lausanne,113,146,240,363,570,858.0,1290.0,1942.0,40.0,60.0,90.0,135.0
541,Le Mont-sur-Lausanne,23,31,46,87,158,258.0,422.0,690.0,5.0,8.0,13.0,21.0
542,Paudex,8,8,7,9,16,20.0,24.0,30.0,1.0,1.0,1.0,1.0
543,Prilly,14,16,24,43,65,97.0,144.0,214.0,1.0,1.0,1.0,1.0
544,Pully,27,43,61,94,156,242.0,376.0,584.0,4.0,6.0,9.0,14.0
545,Romanel-sur-Lausanne,4,6,9,12,29,49.0,83.0,139.0,1.0,2.0,3.0,5.0
546,Chexbres,3,9,8,15,21,38.0,67.0,121.0,2.0,4.0,7.0,13.0
547,Forel (Lavaux),1,1,6,12,23,63.0,171.0,468.0,1.0,3.0,8.0,22.0
548,Lutry,20,33,60,101,164,278.0,471.0,797.0,2.0,3.0,5.0,8.0
549,Puidoux,3,4,5,8,20,33.0,56.0,93.0,4.0,7.0,12.0,20.0
550,Bourg-en-Lavaux,8,13,27,52,78,139.0,248.0,441.0,2.0,4.0,7.0,12.0
551,Bremblens,3,4,7,16,24,41.0,71.0,122.0,5.0,9.0,16.0,27.0
552,Bussigny,3,5,10,37,77,182.0,430.0,1015.0,5.0,12.0,28.0,66.0
553,Chavannes-près-Renens,2,4,5,7,14,23.0,39.0,64.0,1.0,2.0,3.0,5.0
554,Echandens,3,3,4,12,27,51.0,97.0,184.0,1.0,2.0,4.0,8.0
555,Etoy,3,7,12,22,38,72.0,137.0,261.0,4.0,8.0,15.0,29.0
556,Morges,23,26,44,85,157,259.0,428.0,706.0,6.0,10.0,17.0,28.0
557,Villars-sous-Yens,2,3,5,6,4,5.0,6.0,8.0,1.0,1.0,1.0,1.0
558,Lucens,1,6,5,10,23,64.0,178.0,496.0,1.0,3.0,8.0,22.0
559,Moudon,4,8,12,15,26,42.0,68.0,111.0,3.0,5.0,8.0,13.0
560,Chavannes-de-Bogis,2,3,4,10,19,34.0,62.0,112.0,3.0,5.0,9.0,16.0
561,Founex,8,14,30,40,61,103.0,174.0,293.0,1.0,2.0,3.0,5.0
562,Genolier,5,6,13,26,37,63.0,107.0,181.0,4.0,7.0,12.0,20.0
563,Gland,17,21,36,82,112,185.0,304.0,502.0,6.0,10.0,16.0,26.0
564,Nyon,32,45,64,118,177,273.0,421.0,650.0,13.0,20.0,31.0,48.0
565,Saint-Cergue,3,2,5,8,24,47.0,90.0,176.0,1.0,2.0,4.0,8.0
566,Signy-Avenex,0,0,3,6,8,,,,1.0,,,
567,Vich,2,2,4,6,11,17.0,28.0,44.0,1.0,2.0,3.0,5.0
568,L'Abergement,0,0,0,1,1,,,,1.0,,,
569,Ballaigues,0,1,2,5,8,inf,inf,inf,2.0,inf,,
570,Bavois,4,5,6,7,12,16.0,21.0,28.0,1.0,1.0,1.0,1.0
571,Chavornay,0,2,8,18,36,inf,inf,inf,1.0,inf,,
572,Orbe,5,8,10,17,37,62.0,105.0,176.0,4.0,7.0,12.0,20.0
573,Vallorbe,0,1,4,12,14,inf,inf,inf,4.0,inf,,
574,Servion,2,4,4,13,23,46.0,92.0,185.0,1.0,2.0,4.0,8.0
575,Chevroux,1,1,2,4,7,12.0,20.0,34.0,1.0,2.0,3.0,5.0
576,Payerne,8,12,21,33,59,97.0,161.0,266.0,7.0,12.0,20.0,33.0
577,Château-d'Oex,4,4,7,4,15,27.0,47.0,83.0,1.0,2.0,3.0,5.0
578,Rougemont,1,1,1,0,0,,,,2.0,,,
579,Bursinel,1,3,3,5,9,17.0,31.0,59.0,1.0,2.0,4.0,8.0
580,Bursins,2,2,6,10,18,34.0,63.0,117.0,3.0,6.0,11.0,20.0
581,Gilly,2,2,4,11,17,31.0,57.0,103.0,1.0,2.0,4.0,7.0
582,Rolle,13,14,21,34,62,93.0,140.0,211.0,2.0,3.0,5.0,8.0
583,L'Abbaye,1,3,8,12,20,44.0,98.0,215.0,1.0,2.0,4.0,9.0
584,Le Chenit,13,13,18,23,36,47.0,61.0,80.0,2.0,3.0,4.0,5.0
585,Le Lieu,1,1,2,3,4,6.0,9.0,12.0,1.0,2.0,3.0,4.0
586,Blonay,13,24,40,59,96,159.0,263.0,434.0,1.0,2.0,3.0,5.0
587,Chardonne,8,9,19,31,42,65.0,102.0,158.0,1.0,2.0,3.0,5.0
588,Montreux,23,29,53,93,152,246.0,399.0,646.0,5.0,8.0,13.0,21.0
589,Saint-Légier-La Chiésaz,14,14,21,47,83,135.0,219.0,357.0,5.0,8.0,13.0,21.0
590,La Tour-de-Peilz,8,16,29,40,65,111.0,189.0,322.0,6.0,10.0,17.0,29.0
591,Vevey,12,15,23,44,99,172.0,299.0,518.0,7.0,12.0,21.0,36.0
592,Montagny-près-Yverdon,2,2,2,5,12,21.0,36.0,62.0,1.0,2.0,3.0,5.0
593,Yverdon-les-Bains,26,30,52,76,144,225.0,351.0,548.0,14.0,22.0,34.0,53.0
594,Yvonand,5,7,7,15,29,47.0,76.0,123.0,1.0,2.0,3.0,5.0
595,Brig-Glis,18,25,45,50,90,137.0,209.0,319.0,1.0,2.0,3.0,5.0
596,Ried-Brig,2,4,8,10,14,23.0,39.0,64.0,1.0,2.0,3.0,5.0
597,Termen,0,0,1,2,9,,,,1.0,,,
598,Ardon,8,9,10,13,24,32.0,43.0,58.0,6.0,8.0,11.0,15.0
599,Chamoson,5,10,18,23,49,88.0,159.0,287.0,3.0,5.0,9.0,16.0
600,Conthey,7,12,20,32,69,123.0,220.0,392.0,12.0,21.0,38.0,68.0
601,Vétroz,8,12,16,27,61,103.0,175.0,297.0,5.0,8.0,14.0,24.0
602,Orsières,1,1,2,7,13,27.0,57.0,119.0,2.0,4.0,8.0,17.0
603,Sembrancher,0,1,2,1,1,inf,inf,inf,2.0,inf,,
604,Bellwald,2,2,4,4,5,7.0,9.0,11.0,1.0,1.0,1.0,1.0
605,Binn,0,0,0,0,0,,,,2.0,,,
606,Ernen,2,2,4,5,6,8.0,11.0,15.0,1.0,1.0,1.0,1.0
