,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,recomm_2023,recom_2024
67,Muri bei Bern,27,31,50,69,114,165.0,239.0,346.0,2.0,3.0,4.0,6.0
68,Stettlen,4,4,4,7,17,26.0,41.0,63.0,2.0,3.0,5.0,8.0
69,Ittigen,22,20,30,29,57,76.0,102.0,136.0,3.0,4.0,5.0,7.0
70,Ostermundigen,7,10,20,38,56,95.0,162.0,275.0,7.0,12.0,20.0,34.0
71,Biel/Bienne,52,67,99,146,190,263.0,365.0,505.0,16.0,22.0,31.0,43.0
72,Büetigen,1,1,2,6,13,27.0,54.0,111.0,1.0,2.0,4.0,8.0
73,Büren an der Aare,5,8,11,11,17,23.0,32.0,45.0,2.0,3.0,4.0,6.0
74,Leuzigen,0,0,1,3,6,,,,1.0,,,
75,Pieterlen,8,8,10,14,28,40.0,56.0,79.0,3.0,4.0,6.0,8.0
76,Burgdorf,18,26,43,60,97,148.0,226.0,346.0,4.0,6.0,9.0,14.0
77,Hindelbank,2,2,6,7,16,30.0,56.0,103.0,1.0,2.0,4.0,7.0
78,Lyssach,0,4,6,12,21,inf,inf,inf,1.0,inf,,
79,Corgémont,2,2,4,9,13,22.0,36.0,61.0,1.0,2.0,3.0,5.0
80,Courtelary,2,2,4,5,10,16.0,24.0,38.0,2.0,3.0,4.0,6.0
81,Saint-Imier,5,4,5,11,21,32.0,50.0,77.0,3.0,5.0,8.0,12.0
82,Sonceboz-Sombeval,1,3,3,8,14,29.0,62.0,130.0,2.0,4.0,9.0,19.0
83,Tramelan,2,5,9,10,27,55.0,111.0,225.0,3.0,6.0,12.0,24.0
84,Jegenstorf,11,17,25,34,48,69.0,100.0,145.0,1.0,1.0,1.0,1.0
85,Moosseedorf,8,10,21,39,68,118.0,205.0,357.0,3.0,5.0,9.0,16.0
86,Münchenbuchsee,13,15,21,24,48,68.0,97.0,139.0,4.0,6.0,9.0,13.0
87,Urtenen-Schönbühl,11,12,18,25,38,52.0,72.0,99.0,3.0,4.0,6.0,8.0
88,Utzenstorf,6,10,10,16,28,42.0,63.0,95.0,2.0,3.0,4.0,6.0
89,Adelboden,2,2,3,4,8,12.0,17.0,25.0,6.0,9.0,13.0,19.0
90,Frutigen,14,17,28,38,55,78.0,110.0,156.0,1.0,1.0,1.0,1.0
91,Kandergrund,0,0,0,0,1,,,,1.0,,,
92,Grindelwald,3,1,5,9,17,38.0,86.0,195.0,2.0,4.0,9.0,20.0
93,Gsteigwiler,1,1,1,2,2,2.0,3.0,4.0,1.0,1.0,2.0,3.0
94,Interlaken,9,11,28,41,51,83.0,134.0,216.0,11.0,18.0,29.0,47.0
95,Lauterbrunnen,1,3,5,7,7,12.0,22.0,39.0,2.0,3.0,6.0,11.0
96,Wilderswil,2,2,3,2,9,17.0,33.0,63.0,1.0,2.0,4.0,8.0
97,Münsingen,32,38,56,77,116,161.0,223.0,309.0,6.0,8.0,11.0,15.0
98,Oberdiessbach,5,5,6,14,24,37.0,59.0,91.0,2.0,3.0,5.0,8.0
99,Rubigen,1,1,5,13,19,48.0,120.0,302.0,1.0,3.0,8.0,20.0
100,Worb,10,15,28,43,72,118.0,195.0,320.0,2.0,3.0,5.0,8.0
101,Frauenkappelen,0,0,3,6,13,,,,2.0,,,
102,Laupen,3,4,10,12,18,29.0,48.0,78.0,1.0,2.0,3.0,5.0
103,Moutier,1,5,11,19,32,85.0,225.0,597.0,3.0,8.0,21.0,56.0
104,La Neuveville,1,4,8,24,32,83.0,214.0,552.0,2.0,5.0,13.0,34.0
105,Nods,2,3,3,2,3,4.0,4.0,5.0,2.0,3.0,3.0,4.0
106,Brügg,7,8,13,18,29,42.0,60.0,87.0,2.0,3.0,4.0,6.0
107,Nidau,6,10,17,19,32,49.0,76.0,117.0,3.0,5.0,8.0,12.0
108,Orpund,2,2,2,4,13,24.0,43.0,77.0,1.0,2.0,4.0,7.0
109,Port,6,8,11,18,26,38.0,54.0,79.0,1.0,1.0,1.0,1.0
110,Walperswil,3,3,6,10,12,18.0,26.0,38.0,1.0,2.0,3.0,4.0
111,Spiez,18,20,38,59,94,145.0,223.0,343.0,3.0,5.0,8.0,12.0
112,Meiringen,10,13,16,23,35,48.0,66.0,90.0,5.0,7.0,10.0,14.0
113,Schattenhalb,0,0,0,1,1,,,,2.0,,,
114,Lenk,1,2,3,4,9,16.0,28.0,50.0,5.0,9.0,16.0,29.0
115,Zweisimmen,3,5,7,11,15,23.0,34.0,51.0,6.0,9.0,13.0,20.0
116,Saanen,9,20,30,48,49,78.0,123.0,195.0,14.0,22.0,35.0,55.0
117,Rüschegg,3,2,4,6,6,8.0,10.0,13.0,1.0,1.0,1.0,1.0
118,Belp,20,23,32,42,74,104.0,146.0,205.0,4.0,6.0,8.0,11.0
119,Kaufdorf,2,4,6,5,6,8.0,11.0,16.0,1.0,1.0,1.0,1.0
120,Kehrsatz,9,13,15,24,38,55.0,79.0,115.0,1.0,1.0,1.0,1.0
121,Eggiwil,0,0,0,1,2,,,,1.0,,,
